NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A50A,A3Ar_w,A50B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8_2021,AM21,X3,A9,A40,A10,A10A,A21_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J50,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J32,J33_40,J53,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4,B41_1,B41_2,B31,B42,B43,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,EA_1,E7,E8,E20,E15_2015,P50,P51,P52,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M50,M9,M10,wgt_n2,wgt_d2,wgt_s3
2021010011,33,2,1,2,5,11,1,2,2,2,2,5,2,3,1,3,2,3,1,2,3,2,2,1,3,2,2,2, ,1, ,1,4,1,1,1,0,0,0,0,0,0,1,2,6,3,5,5,5,2,5,2,1,2,2,2,2,3,2,3,1,1,98,2, , , ,2,2, , , , ,2,2,2,2,2,1,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,6,1,2,2,2,6,5,6,3, , , , ,98,98,98,98,3,98,98,2.173655206,1.499076072,1.05829707
2021010012,10,5,3,1,6,6,1,5,1,2,1,5,6,3,1,8,2,8,2,2,3,4,10,7,1,3,1,1, , ,1,2,1,1,0,0,1,0,0,0,0,0,2,5,3,4,2,2,1,3,3,1,1,1,2,2,1,3,3,3,1,98,98,1,2,2,2,1,1,2,2, , ,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,5,7,6,3, , , , ,1,3,1,2,1,1,2,1.281741582,2.900545211,0.901867016
2021010013,37,7,3,1,3,3,1,4,1,2,1,6,5,3,1,1,2,1,1,2,3,3,98,4,3,2,98,2, ,2, ,2,3,2, , , , , , , , ,2,2,3,5,2,2,4,3,1,3,1,2,2,1,3,1,1,2,2, , ,2, , , ,2,2, , , , ,2,2,2,7, , , , , , ,2,1,1,1,0,0,0,0,0,0,2,1,1,1,2,2,2,2,2,4,2,2,2,1,5,7,4,3, , , , ,1,2,3,98,98,1,2,1.475065731,0.408008667,1.04273756
2021010014,49,5,3,2,5,11,1,6,4,1,3,5,3,3,1,2,2, ,1, , ,5,5,1,1,2,1,2, ,2, ,2,2,1,1,0,0,0,0,0,0,0,2,4,7,6,5,5,5,2,5,3,1,1,1,3,3,3,2,2,1, ,1,2,1,2,2,2,2, , , , ,2,2,98,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,7,7,3, , , , ,1,1,2,4,3,1,98,0.990720719,0.235194747,0.713028641
2021010015,47,5,3,1,2,2,2,5,2,1,3,5,4,2,1,2,1, ,1,2, ,4,7,5,2,2,2,1, ,1, ,1,2,2, , , , , , , , ,1,5,7,6,4,4,2,4,3,4,1,1,2,2,2,2,2,2,1, ,2,1,1,1,2,1,2, , , , ,2,2,1,4,1,2,2,1,2,2,1,2,0,0,0,0,0,1,0,0, , , ,4,4,4,3,4,1,7,1,2,2,1,6,7,6,1, , , , ,1,1,4,4,2,1,2,1.391292529,1.344471507,1.144023677
2021010016,10,5,3,2,3,9,1,2,1,2,1,2,3,3,1,4,2,2,1,2,2,2,7,1,3,3,1,98,98,2, ,2,4,1,1,0,0,0,0,0,0,0,2,3,7,6,4,4,4,3,1,4,1,98,2,2,3,2,3,3,98, , ,2, , , ,98,2, , , , ,2,2,2,1,1,2,1,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,4,3,2,1,1,2,2,2,7,7,1,1, , , , ,1,3,1,2,1,1,1,1.048678401,2.469657097,0.778309545
2021010017,26,4,2,2,6,12,1,4,1,2,1,5,2,3,1,8,2,8,2,2,3,3,10,4,3,3,1,1, , ,1,2,2,1,0,1,0,0,0,0,0,0,2,5,1,2,1,1,1,5,1,4,1,1,2,3,3,3,3,3,1,1,2,2, , , ,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,4,4,3, , , , ,98,98,3,3,3,1,1,0.540823662,2.211350255,1.131912422
2021010018,10,5,3,2,5,11,1,3,1,2,1,6,2,3,1,8,2,8,2,2,3,2,3,1,2,1,2,2, , ,1,1,3,2, , , , , , , , ,2,2,7,6,4,4,3,1,3,98,1,2,2,3,3,3,3,3,2, , ,2, , , ,2,1,2,2, , ,2,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,7,2,1,1,1,5,4,5,3, , , , ,1,3,98,3,98,1,98,1.22670932,2.951030094,0.986484532
2021010019,13,8,4,1,1,1,1,4,2,4,3,6,1,3,1,5,1, ,1, , ,3,4,3,98,98,2,2, ,2, ,2,2,2, , , , , , , , ,98,98,4,2,2,5,3,3,4,3,1,1,2,2,3,3,2,2,2, , ,2, , , ,2,2, , , , ,1,2,2,7, , , , , , ,2,2,0,0,0,0,0,0,1,0, , , ,1,1,1,1,1,2,4,1,2,2,2,4,4,4,3, , , , ,1,3,98,98,98,98,1,0.459445044,0.590299839,1.33442519
2021010020,41,5,3,2,5,11,1,5,2,4,3,5,3,3,1,6,1, ,1,2, ,4,1,1,1,2,3,2, ,2, ,1,4,1,1,1,0,0,0,0,0,0,2,4,7,6,5,4,5,3,3,3,1,2,2,3,1,3,3,3,1, ,2,2, , , ,1,1,2,2, , ,2,2,1,7, , , , , , ,2,2,0,0,1,0,0,0,0,0,1,2,2,1,1,1,5,1,2,1,1,2,2,2,4,7,5,3, , , , ,1,3,98,3,2,98,98,1.22670932,0.762426997,0.952119531
